,pred
0,160550.20443919374
1,124580.84271102714
2,138762.11077329895
3,132655.04270687295
4,200986.72997115905
5,320370.7317742652
6,113875.19423164874
7,195473.34266972687
8,121125.56393874594
9,340228.0314495876
10,175952.2001017966
11,230808.63348710883
12,305479.18453496165
13,170654.3568139196
14,135351.68558864607
15,330480.3423469695
16,191142.65461190182
17,185837.36439317456
18,190248.05475268792
19,360698.4358217461
20,347003.716157998
21,188454.05844292277
22,438740.41835279035
23,156774.28491369088
24,202006.71875048257
25,240804.92034445284
26,173188.35089120045
27,166014.27601700983
28,212010.19412095926
29,188047.82160386242
30,192020.5565106252
31,169443.53691869715
32,288434.65518452815
33,188833.4444862262
34,125822.17205499097
35,263890.6867249362
36,265544.5807191478
37,186918.70696614686
38,239354.27294814755
39,179706.77714936764
40,254239.1369012177
41,147502.27457994685
42,175700.48367132133
43,185726.10366274114
44,166399.43748799854
45,102982.6944664911
46,247941.64351624707
47,213807.61261913565
48,149855.6146115617
49,244926.6728958919
50,183151.6327502218
51,185230.23072521007
52,133572.48488520808
53,127976.71124534162
54,284156.32138779823
55,183003.3872761294
56,342627.19414950564
57,182791.31150225314
58,147446.77745310156
59,142420.40740275237
60,192263.60043351573
61,227222.788335103
62,177526.29792821503
63,197601.2397711031
64,240580.9496955575
65,126562.44895956032
66,232083.49314622677
67,151508.33902766602
68,175389.26905774
69,140772.48129870644
70,178988.18938522573
71,121003.36029129355
72,226454.87089194293
73,334947.3134936237
74,299270.6862630525
75,169829.64994165587
76,241763.3501818884
77,302827.55841324455
78,152303.5440816713
79,243718.7348872044
80,166788.45764907636
81,176357.7130154953
82,190213.5065031905
83,110758.12031218586
84,293877.861910801
85,323297.6080436093
86,172968.09559091055
87,279399.70573913294
88,491740.7350176252
89,100373.3199748927
90,158968.35327931683
91,210711.09422505207
92,182664.79887374322
93,127514.2636716686
94,185063.46361555587
95,249288.21033737226
96,203776.61619007727
97,393481.12871425925
98,251787.90683966057
99,402758.46810185973
100,181043.21285923308
101,348462.4829026291
102,202051.0182698027
103,184942.57089945144
104,245344.87096140053
105,216805.36381710917
106,283198.4115429759
107,174345.9678290755
108,181711.82227821692
109,211213.70791400393
110,255403.8779785833
111,191746.50230083405
112,188941.72641699266
113,167467.6890095663
114,178777.70262982158
115,183520.99761000756
116,225800.2730603643
117,336855.7718024628
118,348518.62361041585
119,417262.3362257402
120,258558.2526903327
121,281796.1731493816
122,221007.6044209284
123,186722.97640291034
124,196794.08787434886
125,204286.68475818416
126,243917.30249057233
127,310201.5451021244
128,211104.8591830678
129,177478.61124922987
130,238013.4450573487
131,120812.04296670834
132,182959.61032503645
133,220180.01624241174
134,130691.33727707945
135,194126.16027177032
136,135953.97060293893
137,163993.6077021625
138,198567.56090567404
139,183155.91757710188
140,209691.99959621066
141,368345.80618094443
142,185830.1350268541
143,197054.3717667152
144,205114.92359803643
145,208151.6271434504
146,132748.49606561742
147,127351.7693812458
148,162897.6923610374
149,200906.53138035414
150,248326.39942701696
151,458244.66077265
152,306945.27302181686
153,277852.1156714198
154,99235.50926039205
155,156601.25670756362
156,323849.8363398132
157,240303.7638545111
158,188958.48935304585
159,232504.3505955933
160,114187.10958713737
161,233005.9158236027
162,185079.12883354284
163,178870.70993215896
164,181855.85184586578
165,180931.365687678
166,165222.3351350813
167,182408.8914322499
168,205336.19028498794
169,285408.1791167748
170,206051.45385072895
171,210401.18072050877
172,152766.6315477363
173,189162.75877146347
174,144093.38228897308
175,174797.5717282035
176,208002.15919827353
177,169432.58574064478
178,260558.07251488304
179,129492.569040645
180,199478.53551076583
181,141136.21998977775
182,167464.8702986872
183,188906.79147509582
184,296513.75036041375
185,244255.22579483985
186,191536.58746579065
187,311017.7423376693
188,203197.4183514275
189,188433.51306097262
190,204424.9444036071
191,229628.6320977816
192,186369.10792778246
193,198788.28021980374
194,129917.22016856719
195,307365.22278338444
196,117321.86384468457
197,178108.11345830484
198,268846.60481953097
199,176370.5789328079
200,224389.51412167487
201,165658.79535542498
202,163047.67168932655
203,331934.4130653287
204,203039.59477844503
205,75731.1180524056
206,178743.0365668997
207,221121.17464658018
208,199309.1853609687
209,168484.93549642013
210,309509.0051235705
211,199816.72802650253
212,174932.4138999865
213,110026.08129050283
214,296313.2833181164
215,134276.70579350888
216,223549.96407847657
217,244805.0955535661
218,184403.8427065119
219,284379.2658127972
220,312284.960152999
221,379665.42624679115
222,176413.00421467106
223,112101.79572209199
224,137121.95433727777
225,248208.74976306476
226,177782.70885256692
227,72556.19462860636
228,184561.24232524607
229,175954.1630129097
230,177938.9925203193
231,243444.13437524592
232,297924.8638539448
233,207062.69171945675
234,190267.0158994118
235,140908.14652955433
236,276324.07782849553
237,134653.93815352398
238,166118.0250897676
239,329195.6112951149
240,178555.5278493815
241,435558.767246594
242,226678.7829232039
243,246538.92845532927
244,175452.94450598353
245,375747.44038476585
246,137351.71575180607
247,137816.30425113894
248,153622.91605193424
